"Brand","Platform","Content Type","Title/Hook","Caption","Payment Link","Telegram Link","Image Asset"
"Lasavo School","Instagram Reel","Reel 17","Dyslexia-Friendly UI","Font scaling, color contrast, and text-to-speech accessibility features. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #InclusiveEd","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 18","Parent Progress Sync","Sharing TMS report cards directly with school teachers in 1 click. 💳 Parent TMS Pass (₹1,499/mo): https://rzp.io/l/lasavo-parent-tms #ParentSync","https://rzp.io/l/lasavo-parent-tms","https://t.me/LasavoSchoolClassroom","lasavo_parent_dashboard.jpg"
"Lasavo School","Instagram Reel","Reel 19","0 Frustration AI Tutor","Asking the same math problem 10 times with infinite tutor patience. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #AITutor","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 20","Logic & Chess Puzzles","Developing critical thinking and spatial logic through interactive puzzles. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #LogicPuzzles","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 21","Summer STEM Camp Pass","Keeping student minds active over break with daily 20-min STEM modules. 💳 Annual Pass (₹7,999/yr): https://rzp.io/l/lasavo-student-annual #STEMCamp","https://rzp.io/l/lasavo-student-annual","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 22","Robotics Circuit Simulation","Building virtual Arduino circuit boards and testing motor logic. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #Robotics","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 23","Essay Writing Assistant","Instant structural feedback, thesis building, and grammar refinement. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #WritingHelper","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 24","Self-Paced Math Mastery","Moving ahead 2 grade levels in algebra independently. 💳 Annual Pass (₹7,999/yr): https://rzp.io/l/lasavo-student-annual #GiftedEd","https://rzp.io/l/lasavo-student-annual","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 25","Lasavo School Platform Tour","Full tour: Avatar Classroom + Parent TMS Dashboard + Curriculum Browser. 💳 Annual Pass (₹7,999/yr): https://rzp.io/l/lasavo-student-annual #LasavoTour","https://rzp.io/l/lasavo-student-annual","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Post","Image 1","Avatar Classroom Preview","Interactive 3D STEM classroom led by personalized Avatar Teachers. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #LasavoSchool","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Post","Image 2","Parent TMS Analytics UI","Track subject mastery, study hours, and quiz performance live. 💳 Parent Pass (₹1,499/mo): https://rzp.io/l/lasavo-parent-tms #ParentTMS","https://rzp.io/l/lasavo-parent-tms","https://t.me/LasavoSchoolClassroom","lasavo_parent_dashboard.jpg"
"Lasavo School","Facebook","Image 3","Curriculum Tracks Overview","Explore STEM, Coding, Languages, and Vocational learning modules. 💳 Annual Pass (₹7,999/yr): https://rzp.io/l/lasavo-student-annual #STEM","https://rzp.io/l/lasavo-student-annual","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Facebook","Image 4","Student Testimonials Infographic","How parents and students rate Lasavo School 4.9/5 stars. ✈️ Join Telegram: https://t.me/LasavoSchoolClassroom #EdTech","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Post","Image 5","School Enterprise License","Multi-student family and institutional classroom licenses. 💳 Enterprise Pass (₹19,999/yr): https://rzp.io/l/lasavo-parent-tms #EnterpriseEd","https://rzp.io/l/lasavo-parent-tms","https://t.me/LasavoSchoolClassroom","lasavo_parent_dashboard.jpg"
"Lasavo School","Long Video","Video 1","Future of K-12 STEM Education","20-Minute Masterclass: Transforming Student Learning with 24/7 Avatar Teachers. 🌐 Web Portal: https://lasavo-school.netlify.app/#pricing #EdTechMasterclass","https://rzp.io/l/lasavo-student-annual","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Long Video","Video 2","Parent Mastery Guide to TMS","14-Minute Deep Dive: How to Use Parent TMS Analytics to Boost Student Grades. 💳 Parent Pass: https://rzp.io/l/lasavo-parent-tms #ParentGuide","https://rzp.io/l/lasavo-parent-tms","https://t.me/LasavoSchoolClassroom","lasavo_parent_dashboard.jpg"
